Drama,https://m.media-amazon.com/images/M/MV5BZjU1MTIyMmQtODhjMy00NDhjLWI0ZTktNDNkMTEwOGExMWU2XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,tt0006589,"THE DEVIL'S NEEDLE (1916, dir: Chester Withey) stars silent superstar Norma Talmadge as Renee, a French artist's model who uses morphine as an escape from the dull reality of her life. She recommends it to a neurotic artist played by Tully Marshall (Queen Kelly), because ""it kindles the fires of genius."" The artist quickly becomes addicted to the drug and the quality of his work begins to disintegrate. He takes on a new model, marries her, and starts her on the same path of moral degradation, until a guilt-ridden Renee decides to intervene in order to save them both. According to silent film historian Kevin Brownlow, THE DEVIL'S NEEDLE was banned by the state of Ohio, but the censor board reversed its decision after recognizing the positive message beneath the film's scandalous surface. This special edition was mastered from a 35mm preservation print of the 1923 re-release version. The only known surviving copy, the element suffers significant nitrate decomposition during some scenes.",3.3,12/08/16,66,The Devil's Needle
Comedy,https://m.media-amazon.com/images/M/MV5BMTQ5OTY5OTQyMl5BMl5BanBnXkFtZTgwNDk2OTgzMjE@._V1_SX300.jpg,tt0006668,Villains launch Fatty and Mabel's beachfront house into the ocean.,3.25,9/01/16,34,Fatty and Mabel Adrift
Comedy,https://m.media-amazon.com/images/M/MV5BYTdkMTk3NGUtZjQ3Ny00MGQ2LWE1Y2EtNjA0N2E5NGEyOTUyXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,tt0006689,"Chaplin, in his traditional Tramp persona, is a customer who creates chaos in a department store and becomes inadvertently entangled in the nefarious scheme of the store manager and the store's floorwalker to embezzle money from the establishment.",2.55,15/05/16,30,The Floorwalker
Romance Western,https://m.media-amazon.com/images/M/MV5BYWU0MzcxMDgtYWQzOC00MzZmLThjMGQtMzk4M2FkYjEwMTQ0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,tt0006780,"When Reverend Robert Henley and his sister Faith arrive in the town of Hell's Hinges, saloon owner Silk Miller and his cohorts sense danger to their evil ways. They hire gunman Blaze Tracy to run the minister out of town. But Blaze finds something in Faith Henley that turns him around, and soon Silk Miller and his compadres have Blaze to deal with.",3.395295903,5/03/16,64,Hell's Hinges
Comedy,https://m.media-amazon.com/images/M/MV5BMjNhZGU1NDYtYjZmYy00MmJmLWFmYzAtMzFiMDRhNjBhN2Q0XkEyXkFqcGdeQXVyMzE0MjY5ODA@._V1_SX300.jpg,tt0006809,"A young man can only get the woman he loves if he becomes famous and manages to get his picture in the newspapers. He determines to let nothing stand in the way of his doing exactly that, and in the process winds up getting involved with a gang of criminals and a locomotive chase.",3,13/02/16,62,His Picture in the Papers
Drama,https://m.media-amazon.com/images/M/MV5BZTc0YjA1ZjctOTFlZi00NWRiLWE2MTAtZDE1MWY1YTgzOTJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0006864,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",2.761904762,4/09/16,197,Intolerance: Love's Struggle Throughout the Ages
Adventure,https://m.media-amazon.com/images/M/MV5BZmY1OWM4ZmItODBjZC00ZmQwLWJkOWEtNDZiNTA4NTE1ODllXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,tt0006886,"Director Louis Feuillade won fame and critical acclaim with his early crime serials, FantÃ´mas (1913-14) and Les Vampires (1915). These episodic films were hugely popular, but they also brought Feuillade a fair amount of criticism from the bourgeois establishment, who accused him of glorifying crime and making heroes of criminals. Feuilladeâ€™s well-meaning response to this brow-beating was another serial, the 12-part epic entitled Judex. The Plot: When his family is ruined by the unscrupulous banker Favraux, Jacques de Tremeuse resolves to bring him to justice. Adopting a disguise and the name Judex, he captures the crooked banker and takes him to his secret lair. Learning of Favrauxâ€™s dishonest ways, his daughter Jacqueline gives away his wealth when she learns of his death. This infuriates a pair of ruthless crooks, Diana Monti and MoralÃ©s, who immediately swear to take revenge on Jacqueline, and her protector, Judex.",2.439949109,16/12/16,300,Judex
Romance Comedy,https://m.media-amazon.com/images/M/MV5BNjE4ZTVkNzUtZDY0Mi00ZWQ1LWJkZjAtYWRhMzFlNDAwMWZiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,tt0007047,"A young couple attempts to elope, with the bride's irate father in hot pursuit. The train stops briefly and the young man dashes off to find a minister, but before he can get himself and the minister onto the train, it leaves, carrying his bride-to- be away. Now the young man, minister in tow, pursues his bride while her father and a horde of lawmen pursue them both.",3.833333333,16/12/16,46,The Matrimaniac
Comedy,https://m.media-amazon.com/images/M/MV5BOTE3NDYxYjMtNjY4Ny00YzBiLWJmODktNDc0ZjNmZTlhMTk5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,tt0007162,"Chaplin plays an assistant in a pawnshop run by Bergman. He engages in a slapstick battles with his fellow pawnshop assistant, deals with eccentric customers, and flirts with the pawnbroker's daughter. One customer, posing as a jewelry buyer, pulls a gun and tries to rob the place. Chaplin disarms him.",3.634436118,2/10/16,32,The Pawnshop
Comedy,https://m.media-amazon.com/images/M/MV5BYTViN2ZjMjQtYjlhYy00NTc5LWE5YzctNmZjYTcyNmE3ZDIxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,tt0007264,"After amusements working in a restaurant, Charlie uses his lunch break to go roller skating.",3.489400922,4/12/16,24,The Rink
Drama,https://m.media-amazon.com/images/M/MV5BM2UxNTNiYjYtYjZkYy00MzI0LWExZWItZDZhOWEzNWFkZGMzXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg,tt0007558,"While prosecuting a physician for the death of a client after an abortion, the district attorney discovers that his wife helped her society friends and the daughter of her maid obtain and pay for abortions from the physician (and was perhaps herself also a client).",3,16/04/16,62,Where Are My Children?
Drama Romance,https://m.media-amazon.com/images/M/MV5BZWQxM2M5OTctNWIwMS00MWFlLThhY2MtNWM4OTViNzI1MjE0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,tt0008827,"Amarilly comes from a large family in a working-class neighborhood. She is happy with her family and her boyfriend Terry, a bartender in a cafe. But one day she meets Gordon, a sculptor who comes from a rich family, and she begins to be drawn into the world of the upper class.",3.75,10/03/18,67,Amarilly of Clothes-Line Alley
Romance Drama,https://m.media-amazon.com/images/M/MV5BZjNhNDMwMzItN2VlYS00OTYwLTgwYTEtMWJlNGE3OGE0NDg0XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_SX300.jpg,tt0009937,An Austrian military officer and roue' attempts to seduce the wife of a surgeon. The two men confront each other in a test of abilities that ends surprisingly.,3.6,21/10/19,99,Blind Husbands
Drama Romance,https://m.media-amazon.com/images/M/MV5BNTY0ODRmZDktMzM2MC00NThmLWEyMDMtODQzNWEyMjMxYTYzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0009968,Broken Blossoms is an American silent film from director D. W. Griffith. This melodrama tells the love story of an abused English woman and a Chinese Buddhist in a time when London was a brutal and harsh place to live.,4.027585374,13/05/19,90,Broken Blossoms
Comedy Drama,https://m.media-amazon.com/images/M/MV5BNGRjODEwMjMtZDRkMC00M2JjLWExYzgtNGRjZWQ1M2FiMDlmXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_SX300.jpg,tt0010060,"A poor hat-check girl loses her job and is forced to get a job as a dancer at a roadhouse. There she falls in love with the son of a rich businessman. The boy's father, believing her to be after the family's money, determines to embarrass her and show his son what she really is.",3,1/05/19,55,The Delicious Little Devil
Comedy,https://m.media-amazon.com/images/M/MV5BNjdhMmRkNDgtNzk3NS00OTcyLWEzMTUtZGFhNjE1NjVkMjdmXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,tt0010267,"A spoiled young rich girl is forced by misfortune to fight for survival in the slums and alleys, where she becomes involved with all manner of unpleasantness.",4,31/08/19,78,The Hoodlum
Drama Horror ScienceFiction,https://m.media-amazon.com/images/M/MV5BMzE5YjQ0OTEtZWYxOS00OGEzLTlhYjMtMTNlOTllNGNiNDY1XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,tt0011130,Dr. Jekyll and Mr. Hyde is a 1920 horror silent film based upon Robert Louis Stevenson's novella The Strange Case of Dr Jekyll and Mr Hyde and starring actor John Barrymore.,3.211725293,18/03/20,67,Dr. Jekyll and Mr. Hyde
Comedy,https://m.media-amazon.com/images/M/MV5BOTFhYTc5ZGMtZmE0MC00NGFlLThlMTgtMmY5ZDQxYjU2ZWQ2XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,tt0011293,"A tipsy doctor encounters his patient sleepwalking on a building ledge, high above the street.",3.559568925,11/07/20,26,High and Dizzy
Adventure Drama Action History,https://m.media-amazon.com/images/M/MV5BN2ZmZTYwNTgtOTE0Zi00YzU0LWI0MmUtMDIxMGE4MjYwZDdhXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,tt0011387,"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil Magua. Fighting to rescue the women are Chingachgook and his son Uncas, the last of the Mohican tribe, and their white ally, the frontiersman Natty Bumppo, known as Hawkeye.",2.166666667,21/11/20,73,The Last of the Mohicans
Crime Drama Horror,https://m.media-amazon.com/images/M/MV5BNTZhZTk5YWQtMTZlMC00NTM4LTkxNjEtOTFkOThiZmIyNGM5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,tt0011565,"Blizzard, deranged from a childhood operation in which both his legs were perhaps needlessly amputated after an accident, becomes a vicious criminal, and eventually mob leader of the San Francisco underworld. Out for revenge against the surgeon who performed his operation, he undergoes brain surgery which has a chance of altering his anti-social behavior.",3.105263158,15/08/20,90,The Penalty
Comedy,https://m.media-amazon.com/images/M/MV5BZWM3MWM5OGItMjU4Mi00OTQ0LWIzYzItNmQ3ODNlZWQ5ZDgwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,tt0011656,Buster competes with another farmhand for the love of the farmer's daughter.,3.669811321,22/12/20,19,The Scarecrow
Comedy Drama Romance,https://m.media-amazon.com/images/M/MV5BY2I3OTVlMTQtNGIyNi00MzkwLTllNjEtNTRkZWI4MjUyYjgwXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,tt0011865,"Robert and Beth Bordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",3.25,21/05/20,90,Why Change Your Wife?
Comedy Drama,https://m.media-amazon.com/images/M/MV5BOWFjOWQ4NTAtNjZlNC00NTY2LWI1OTctYTVjYjM1NjM0MjJkXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,tt0012465,"Lois Wilson (as Lulu) is the spinsterish member of the Deacon family: ""The family beast of burden, whose timid soul has failed to break the bonds of family servitude."" Her brother-in-law is patriarchal Theodore Roberts (as Dwight Deacon); running the house with an iron fist, he is both a dentist and a Justice of the Peace. As the latter, he accidentally marries Ms. Wilson to his visiting brother Clarence Burton (as Ninian Deacon) while they are out for dinner. Schoolteacher Milton Sills (as Neil Cornish) is also interested in Wilson...",3.333333333,1/11/21,71,Miss Lulu Bett
Comedy Drama,https://m.media-amazon.com/images/M/MV5BNmVkY2ZhYmUtNzgyNS00Y2Q3LWEzZjYtYTJmNTIxNmIyOGQ4XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,tt0012486,An orphan escapes immigration officials at Ellis Island and goes to live with an old ship's master who can't find work and can't pay the rent.,2.846153846,1/12/21,55,My Boy
Western Comedy,https://m.media-amazon.com/images/M/MV5BNjJkYjc4MzUtZDdhOC00N2U4LWFmOGEtN2ViYzMzZWVhNTYxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,tt0012543,"A butterfly collector unwittingly wanders into an Indian encampment while chasing a butterfly. This tribe has resolved to kill the first white man who enters their encampment because white oil tycoons are trying to force them from their land. The Indian warriors give chase to Keaton, who ingeniously escapes their efforts to kill him. As a result, Keaton eventually becomes accepted by the tribe and given the title, ""Little Chief Paleface"". He subsequently leads the tribe's effort to stop the oil tycoons from displacing them from their land.",3.541666667,1/01/22,20,The Paleface
Crime Drama Horror,https://m.media-amazon.com/images/M/MV5BMDk1N2I5MTQtNDdlZS00ZmRjLWE4MTEtNTVjNDE3MDAxNWEyXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_SX300.jpg,tt0012651,"The sinister Count Oetsch scandalizes the aristocratic social gathering at Castle Vogelod as he announces his intention to ""crash"" the festivities. Baroness SafferstÃ¤tt is expected shortly, and the guests are well-aware of the rumors that Count Oetsch murdered the baroness' late husband. Oetsch refuses to leave, vowing that he will reveal the identity of the real killer. Before the weekend is through, the Count and Baroness will reveal secrets too shocking to be believed!",2.523966447,7/04/21,81,The Haunted Castle
Romance Drama,https://m.media-amazon.com/images/M/MV5BMTgxMTI2MDU3MF5BMl5BanBnXkFtZTgwMDQyNzM2MzE@._V1_SX300.jpg,tt0013662,"Wealthy Elias Graves builds his home on the top of a hill, where a group of squatters have taken up residence at the bottom. Many of the men in the squatters' village have their eyes on young Tess, and one of them, Ben Letts, frames Tess's father for murder. While maintaining her father's innocence, Tess must keep her love for Graves' son a secret, while caring for Elias' daughter's illegitamate child.",2.727272727,12/11/22,118,Tess of the Storm Country
Animation,https://m.media-amazon.com/images/M/MV5BMzRlM2QxNGEtZjkyMS00NTExLWFmMTQtOTkwMjNhYjFjOTAzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,tt0013823,"Instead of Wonderland, Alice visits the Walt Disney animation room.",3.318181818,1/01/23,12,Alice's Wonderland
Comedy,https://m.media-amazon.com/images/M/MV5BZmM2YjI2M2ItYjdkNS00ODhjLTkzYjQtOWFiYzFmNjNiMDVhXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,tt0014029,"Sue Graham is a small town girl who wants to be a motion picture star. She wins a contract when a picture of a very pretty girl is sent to a studio instead of her picture. When she arrives in Hollywood, the mistake is discovered and she starts working in the props department of the studio instead. Her parents then come out to California and invest some money with a very shifty individual.",3.390625,28/10/23,68,The Extra Girl
Comedy Drama Family,https://m.media-amazon.com/images/M/MV5BNTNjZjYxMDQtMTViNi00NTg0LWFmZTYtNTdiMzUxZWU3ZTU2XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,tt0014341,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",3.202702703,19/11/23,73,Our Hospitality
Comedy Drama Romance,https://m.media-amazon.com/images/M/MV5BODIzNWJhMmQtZTI5MS00YmRhLThhY2EtZjdmZjM0YTU0YWQyL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,tt0014497,"A young woman hits Hollywood, determined to become a star.",3.75,22/04/23,90,Souls for Sale
Action Comedy Romance,https://m.media-amazon.com/images/M/MV5BOTIyMjRjMDAtMjY1ZS00YjhhLWJlODUtODJjODk3MzRiMTBiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,tt0014945,"Harold Meadows (Lloyd) is a shy, stuttering bachelor working in a tailor shop, who is writing a guide book for other bashful young men, ""The Secret of Making Love,"" chapters from which are portrayed as fantasy sequences. Fate has him meet rich girl, Mary (Ralston), and they fall in love. But she is about to wed an already married man, so our hero embarks upon a hair-raising daredevil ride to prevent the wedding.",2.861111111,20/04/24,80,Girl Shy
Drama Romance Thriller,https://m.media-amazon.com/images/M/MV5BOTEwMTA1OTc1NF5BMl5BanBnXkFtZTgwMzU1NjkwMjE@._V1_SX300.jpg,tt0014972,"Story of an inventor who, suffering betrayal in life, makes a career of it by becoming a clown whose act consists of getting slapped by all the other clowns. He falls in love with another circus performer, and those who betrayed him enter his life yet again.",2.5,22/12/24,95,He Who Gets Slapped
Action Comedy,https://m.media-amazon.com/images/M/MV5BMzA1ODQ1Nzk0MV5BMl5BanBnXkFtZTgwOTEwNTQ2MzE@._V1_SX300.jpg,tt0015163,Two spoiled rich people find themselves trapped on an empty passenger ship.,3,13/10/24,59,The Navigator
Fantasy Drama Comedy Mystery,https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,tt0015324,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",2.75,21/04/24,49,SherlockU+002CJr.
Drama Romance War,https://m.media-amazon.com/images/M/MV5BNjY2MTA1MjExNV5BMl5BanBnXkFtZTgwNzQ2ODAyMjE@._V1_SX300.jpg,tt0015624,"The story of an idle rich boy who joins the US Army's Rainbow Division and is sent to France to fight in World War I, becomes friends with two working class men, experiences the horrors of trench warfare, and finds love with a French girl.",3.758709563,5/11/25,151,The Big Parade
Drama Romance,https://m.media-amazon.com/images/M/MV5BN2MyZGNmMWQtNDFhMC00ZDQ1LWI1NGUtMjBhYjNiNjNmNzQwXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,tt0015634,"A minister is malevolent and sinister behind his righteous facade. He consorts with, and later extorts from, the owner of a gambling house, and betrays an honest girl, eventually driving them both to ruin.",3.2625,9/11/25,102,Body and Soul
Western Adventure Romance,https://m.media-amazon.com/images/M/MV5BZGY0OWM4MjYtMGNlYi00ZTJjLWJiNmMtNjkzMzJmOTQ4YThlXkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_SX300.jpg,tt0015758,"Returning to the legend that inspired his first swashbuckling adventure, Fairbanks appeared in DON Q, SON OF ZORRO. Don Cesar De Vega (Fairbanks) crosses swords with a vicious member of the Queen's Guard (Donald Crisp, who also directed), and steals the affection of a young heiress (Mary Astor). When the officer frames the young upstart for murder, Don Cesar fakes his own death and retreats to the crumbling ruins of the family castle he plots his vengeance.",3.933686177,15/06/25,111,Don Q Son of Zorro
Adventure Comedy Drama,https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,tt0015864,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,3.397196262,25/06/25,95,The Gold Rush
Drama History,https://m.media-amazon.com/images/M/MV5BNzFhZWQ1MjgtYTNmNy00ZjdhLWEwZDctMzJkYzE5YTQwNjIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,tt0015881,Greed is the classic 1924 silent film by Erich von Stroheim about a woman who wins the lottery thus becoming obsessed with money and ruining her marriage and the people around her. The film was originally 10 hours long and dramatically and realistically depicted word for word the Frank Norris novel McTeague. Only about 2 hours exist today as it is considered the 'Holy Grail' of lost films.,2.922377081,4/12/24,140,Greed
Adventure Drama Fantasy ScienceFiction,https://m.media-amazon.com/images/M/MV5BMzQxMjNlNDItNTUzZC00YWZhLTgwNTAtZTExMzQ0Y2MwODM5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,tt0016039,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,3.325396825,22/06/25,106,The Lost World
Crime Drama Romance,https://m.media-amazon.com/images/M/MV5BYjM4MTU4ZmItMjFhZi00ZGJjLWFhYzAtMzRiODEzNDIyMTgwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,tt0016201,Armand and Marie survive in the streets until a scientist takes them in after a botched robbery.,3,1/08/25,70,Parisian Love
Drama Horror,https://m.media-amazon.com/images/M/MV5BNDk4MDM1NTI5MV5BMl5BanBnXkFtZTgwMDkyMDc2MTE@._V1_SX300.jpg,tt0016220,"A grotesquely disfigured composer known as the ""Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his underground lair, the Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him after her next performance. When the Phantom finds out, he abducts Christine, incurring the wrath of Raoul -- and a horde of rabid Parisians.",3.399449036,6/09/25,101,The Phantom of the Opera
Comedy Drama,https://m.media-amazon.com/images/M/MV5BZThhMWZiZDYtYzFmOS00ODQ0LWJlYzgtZjY4NjhjYTE1NDIyXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg,tt0016258,"Tim Kelly is an orphan who runs away after his orphanage burns down. Presumed to be killed in the fire, he is able to roam the streets of New York freely. He meets Max Ginsberg, an old Jewish junk dealer with rheumatism, and the two strike a partnership and a close friendship.",3.472222222,16/02/25,68,The Rag Man
